snapshot,ES00,ITN1,ITCN,ITCS,ITS1,ITCA,ITSI,ITSA
2013-01-01 00:00:00,29502.24542743683,17253.333917770386,4287.874431533814,5752.333895149231,2503.141346435547,1056.6232876586914,2227.752604141235,1107.6255173110962
2013-01-01 01:00:00,27457.86582710266,16303.0369058609,4051.702420005798,5435.500881996155,2365.2707216262816,998.4254781723022,2105.0501279067994,1046.6185647583006
2013-01-01 02:00:00,25567.585261039734,15507.362151184081,3853.9578101730344,5170.219546813964,2249.8329301452636,949.6970190811157,2002.3124822616576,995.5380101776123
2013-01-01 03:00:00,24379.739295997617,14894.845250053406,3701.732444229126,4966.00385520935,2160.967996749878,912.1854080581664,1923.2242295455933,956.2157960891723
2013-01-01 04:00:00,23944.40960544586,14837.774308242797,3687.5489303970335,4946.9761447143555,2152.688067626953,908.6903123855591,1915.8552252578734,952.5519913101195
2013-01-01 05:00:00,23949.54624393463,15247.888528671265,3789.472315826416,5083.70999961853,2212.1881256103516,933.8064090728759,1968.8092575454712,978.8803937530517
2013-01-01 06:00:00,24194.820360565183,15358.71227256775,3817.014709510803,5120.659099807739,2228.2666070938108,940.5934492111205,1983.1188116073608,985.9950301361083
2013-01-01 07:00:00,23859.655311164854,15425.737473030089,3833.672095184326,5143.00554195404,2237.990716667175,944.6981790924071,1991.773119239807,990.2979149627685
2013-01-01 08:00:00,24093.371961097717,16387.31591320038,4072.6478421783445,5463.599887313842,2377.4980385208128,1003.5868571853638,2115.9322364807126,1052.029094696045
2013-01-01 09:00:00,26155.729715881345,17307.75043006897,4301.398258247375,5770.476565055847,2511.036152076721,1059.955824241638,2234.7788528442384,1111.1189375305175
2013-01-01 10:00:00,28359.344698028563,18652.23490474701,4635.535482330322,6218.733370170593,2706.0961642074585,1142.2943156814574,2408.3788479232785,1197.43183467865
2013-01-01 11:00:00,29540.770155906677,18838.04727809906,4681.714373207092,6280.683984107971,2733.054085578918,1153.6737730026246,2432.3709663391114,1209.3605797958373
2013-01-01 12:00:00,30433.25997970581,17711.22857170105,4401.672375717163,5904.997868652344,2569.5733963394164,1084.6655181884764,2286.875996170044,1137.0213233947754
2013-01-01 13:00:00,30344.653066101073,17171.045609664918,4267.423759651184,5724.898610076904,2491.202819480896,1051.5837752914429,2217.127522125244,1102.3427933502196
2013-01-01 14:00:00,28709.92000400543,17522.76177886963,4354.83381778717,5842.162184028625,2542.2303314208984,1073.1234716796876,2262.541142234802,1124.9221937179566
2013-01-01 15:00:00,28137.185434532163,18684.08841003418,4643.451848144531,6229.353465957642,2710.717495498657,1144.245094985962,2412.4917945480347,1199.4767905044555
2013-01-01 16:00:00,28862.734667968747,21114.24779823303,5247.405708694458,7039.578759040833,3063.2889083099362,1293.0721502685547,2726.274248886108,1355.4875670242309
2013-01-01 17:00:00,32467.366082344055,21617.268084945677,5372.418544578552,7207.287840652465,3136.2678868484495,1323.8779455184936,2791.2243152999877,1387.7803420257567
2013-01-01 18:00:00,34245.92498199463,21978.274822654723,5462.137517662048,7327.6489362716675,3188.643325958252,1345.9866137695312,2837.8375197601317,1410.9561736297608
2013-01-01 19:00:00,35447.89675304413,21718.137610321042,5397.487066421509,7240.918148994446,3150.9021979141235,1330.0553715133667,2804.2485961151124,1394.2559786224365
