timestamp,price_from,price_to,flow
2013-01-01 00:00:00,50.39172516876611,55.523897988433134,2090.978653459735
2013-01-01 01:00:00,50.39171904713879,55.52389184973637,2090.9784588588254
2013-01-01 02:00:00,50.39171520669159,55.523881210740136,2090.9784423273904
2013-01-01 03:00:00,50.391713789215125,55.52386433321953,2090.978509954677
2013-01-01 04:00:00,50.391713251949014,55.523863582091856,2090.9786013850307
2013-01-01 05:00:00,50.39171364727218,55.52387719661009,2090.9786821914195
2013-01-01 06:00:00,50.39171401752503,55.52387978285511,2090.9787696908925
2013-01-01 07:00:00,50.3917135526234,55.52387999381575,2090.97888942031
2013-01-01 08:00:00,50.391678123454014,55.523152682816736,2090.9787023749795
2013-01-01 09:00:00,37.78616454685246,55.52314542441307,2090.9936698620586
2013-01-01 10:00:00,37.78616253105333,55.523314274395325,2090.993657550782
2013-01-01 11:00:00,37.78618394669451,55.52381308288747,2090.9936531235317
2013-01-01 12:00:00,37.78615305852049,55.52333965843964,2090.993651085495
2013-01-01 13:00:00,37.78614572102131,55.52363770523467,2090.9936501732636
2013-01-01 14:00:00,37.786164846761196,55.5238857216842,2090.993648816225
2013-01-01 15:00:00,48.07816309492949,55.52390221612647,2090.984957815048
2013-01-01 16:00:00,50.39171422650346,55.523909980360564,2090.978723075842
2013-01-01 17:00:00,50.391767291712696,55.52391247615644,2090.9788858649845
2013-01-01 18:00:00,50.39177010066557,55.523912325939975,2090.97875919135
2013-01-01 19:00:00,50.39177235078102,55.52391138668868,2090.9788974739513
2013-01-01 20:00:00,50.391773608851544,55.52390843939567,2090.9794096471032
2013-01-01 21:00:00,50.391756302086684,55.52390501685583,2090.9793532651292
2013-01-01 22:00:00,50.39176890244399,55.523901968031886,2090.979352582378
2013-01-01 23:00:00,50.39174497551563,55.52388916310588,2090.979507667301
2013-01-02 00:00:00,50.39172213474928,55.5238738588798,2090.9786119892333
2013-01-02 01:00:00,50.3917163608732,55.52385478059475,2090.978379755399
2013-01-02 02:00:00,50.39171404198877,55.523839866720294,2090.978338045078
2013-01-02 03:00:00,50.391714042691824,55.52384951383246,2090.9783521022973
2013-01-02 04:00:00,50.39171540656128,55.52387543869437,2090.9783975117934
2013-01-02 05:00:00,50.39172357014271,55.52390015564827,2090.9786172641207
2013-01-02 06:00:00,50.39175949618324,55.52390890343178,2090.9794710701663
2013-01-02 07:00:00,50.39176911853411,55.523918156838235,2090.9790073516124
2013-01-02 08:00:00,50.39176336312777,55.523918616329475,2090.9789896726334
2013-01-02 09:00:00,48.08062667510262,55.52391612202441,2090.984872565161
2013-01-02 10:00:00,38.99037207709912,55.52391609780005,2090.9931522016122
2013-01-02 11:00:00,37.786142049136714,55.523915300046184,2090.9936169863695
2013-01-02 12:00:00,37.78615023919601,55.523914544936154,2090.9936178898515
2013-01-02 13:00:00,37.78614946319935,55.52391640288556,2090.993615772405
2013-01-02 14:00:00,37.786231252685376,55.52392280800782,2090.993611296144
2013-01-02 15:00:00,48.08121510900254,55.52393580134935,2090.9848226747117
2013-01-02 16:00:00,50.39175658758018,56.387693715676924,2090.981248639857
2013-01-02 17:00:00,50.39181664533456,56.368266559294575,2090.981413824469
2013-01-02 18:00:00,50.39182409706696,55.52418798330695,2090.9787365444563
2013-01-02 19:00:00,50.39181533580181,55.52394180259023,2090.9788469135274
2013-01-02 20:00:00,50.39180558645297,55.52392572284761,2090.9785756872798
2013-01-02 21:00:00,50.391781422593176,55.52391482856167,2090.9784953373173
2013-01-02 22:00:00,50.39177246434441,55.52390594655774,2090.9794136348683
2013-01-02 23:00:00,50.39176240566258,55.523901418949734,2090.9798358433236
2013-01-03 00:00:00,50.39173265336674,55.52389587422248,2090.979021524612
2013-01-03 01:00:00,50.39172404368506,55.52389118032012,2090.9786483090465
2013-01-03 02:00:00,50.39172052672811,55.52388988833634,2090.9784952582204
2013-01-03 03:00:00,50.391720346250594,55.52389064185405,2090.978480133218
2013-01-03 04:00:00,50.39172183743068,55.52389631190478,2090.9785015598254
2013-01-03 05:00:00,50.391735328109746,55.523903062794965,2090.9788528021363
2013-01-03 06:00:00,50.391767387993895,55.52390835823993,2090.97914673386
2013-01-03 07:00:00,50.39177476458104,55.52391495368382,2090.978528783852
2013-01-03 08:00:00,50.39176842171023,55.523907186543966,2090.9794383728795
2013-01-03 09:00:00,46.911421830383766,55.52390500632544,2090.9869613892097
2013-01-03 10:00:00,37.78614588126512,55.52390520236455,2090.993631924259
2013-01-03 11:00:00,37.786142692091374,55.52390553420208,2090.9936302557253
2013-01-03 12:00:00,42.775913639637324,55.523904309801466,2090.991159278101
2013-01-03 13:00:00,42.77521338375192,55.52390405271204,2090.991159173508
2013-01-03 14:00:00,48.06948930516982,55.52391001488526,2090.9849015102736
2013-01-03 15:00:00,50.39170333070406,55.523928830086675,2090.9780516052942
2013-01-03 16:00:00,50.39177108148901,55.52656347603316,2090.9780662463845
2013-01-03 17:00:00,50.3919342713474,55.53282973451854,2090.9789710261703
2013-01-03 18:00:00,50.39197822098104,55.52426801840956,2090.9787299458494
2013-01-03 19:00:00,50.39196549247785,55.52395708403931,2090.978763172543
2013-01-03 20:00:00,50.39193016886018,55.5239168650604,2090.9793626896135
2013-01-03 21:00:00,50.39189592726281,55.523912022714306,2090.983792789345
2013-01-03 22:00:00,50.39182140422168,55.523906878615776,2090.986213653734
2013-01-03 23:00:00,50.391776127600195,55.523902725666915,2090.9805369526784
2013-01-04 00:00:00,50.391768123698654,55.52389805034883,2090.9793924197675
2013-01-04 01:00:00,50.39176250647515,55.52389313626834,2090.979454497953
