Zeitpunkt,demand,pv,wind,biomass,hydro_large,hydro_small
1930-04-01 05:00:00+01:00,0.145045901,0.003094846,0.009906625,0.0624,0.133059005,0.000227176
1930-04-01 06:00:00+01:00,0.161224897,0.007666788,0.008334899,0.0624,0.133059005,0.000227176
1930-04-01 07:00:00+01:00,0.179532722,0.011957412,0.008168258,0.0624,0.133059005,0.000227176
1930-04-01 08:00:00+01:00,0.173994696,0.018428432,0.008644529,0.0624,0.133059005,0.000227176
1930-04-01 09:00:00+01:00,0.171137927,0.019905464,0.009930431,0.0624,0.133059005,0.000227176
1930-04-01 10:00:00+01:00,0.172441689,0.017443713,0.011526039,0.0624,0.133059005,0.000227176
1930-04-01 11:00:00+01:00,0.167640344,0.015403881,0.01302627,0.0624,0.133059005,0.000227176
1930-04-01 12:00:00+01:00,0.168283397,0.014559862,0.015240985,0.0624,0.133059005,0.000227176
1930-04-01 13:00:00+01:00,0.170178475,0.013293744,0.016145915,0.0624,0.133059005,0.000227176
1930-04-01 14:00:00+01:00,0.172843629,0.010691293,0.016050692,0.0624,0.133059005,0.000227176
1930-04-01 15:00:00+01:00,0.170426551,0.00773712,0.015526809,0.0624,0.133059005,0.000227176
1930-04-01 16:00:00+01:00,0.179731034,0.00386856,0.01590778,0.0624,0.133059005,0.000227176
1930-04-01 17:00:00+01:00,0.194000312,0.000633037,0.016598381,0.0624,0.133059005,0.000227176
1930-04-01 18:00:00+01:00,0.195497046,0.0,0.017622417,0.0624,0.133059005,0.000227176
1930-04-01 19:00:00+01:00,0.187424799,0.0,0.017598611,0.0624,0.133059005,0.000227176
1930-04-01 20:00:00+01:00,0.179435598,0.0,0.017384282,0.0624,0.133059005,0.000227176
1930-04-01 21:00:00+01:00,0.169706372,0.0,0.017288981,0.0624,0.133059005,0.000227176
1930-04-01 22:00:00+01:00,0.163411425,0.0,0.017479505,0.0624,0.133059005,0.000227176
1930-04-01 23:00:00+01:00,0.154846206,0.0,0.018265406,0.0624,0.133059005,0.000227176
1930-05-01 00:00:00+01:00,0.159988346,0.0,0.017265176,0.0624,0.150227292,0.000249645
1930-05-01 01:00:00+01:00,0.155612854,0.0,0.01724137,0.0624,0.150227292,0.000249645
1930-05-01 02:00:00+01:00,0.157219949,0.0,0.016908011,0.0624,0.148990369,0.000249645
1930-05-01 03:00:00+01:00,0.152795899,0.0,0.016503157,0.0624,0.148990369,0.000249645
1930-05-01 04:00:00+01:00,0.148546985,0.0011254,0.016122109,0.0624,0.148990369,0.000249645
1930-05-01 05:00:00+01:00,0.15588301,0.004290587,0.015240985,0.0624,0.148990369,0.000249645
1930-05-01 06:00:00+01:00,0.172902934,0.00977688,0.01578875,0.0624,0.148990369,0.000249645
1930-05-01 07:00:00+01:00,0.184674517,0.016951309,0.017098534,0.0624,0.148990369,0.000249645
1930-05-01 08:00:00+01:00,0.183252982,0.024196133,0.01845593,0.0624,0.148990369,0.000249645
1930-05-01 09:00:00+01:00,0.17692004,0.02876802,0.018860707,0.0624,0.148990369,0.000249645
1930-05-01 10:00:00+01:00,0.17646988,0.029682434,0.018265406,0.0624,0.148990369,0.000249645
1930-05-01 11:00:00+01:00,0.170956109,0.026657884,0.017217564,0.0624,0.148990369,0.000249645
1930-05-01 12:00:00+01:00,0.170970737,0.021171582,0.015741062,0.0624,0.148990369,0.000249645
1930-05-01 13:00:00+01:00,0.173778437,0.014700562,0.013574036,0.0624,0.148990369,0.000249645
1930-05-01 14:00:00+01:00,0.178277082,0.00935487,0.009477965,0.0624,0.148990369,0.000249645
1930-05-01 15:00:00+01:00,0.175519659,0.006119361,0.00661957,0.0624,0.148990369,0.000249645
1930-05-01 16:00:00+01:00,0.183490798,0.00330586,0.004569193,0.0624,0.148990369,0.000249645
1930-05-01 17:00:00+01:00,0.197131322,0.000984727,0.002787592,0.0624,0.148990369,0.000249645
1930-05-01 18:00:00+01:00,0.198733307,0.0,0.002211643,0.0624,0.148990369,0.000249645
1930-05-01 19:00:00+01:00,0.19174683,0.0,0.00235755,0.0624,0.148990369,0.000249645
1930-05-01 20:00:00+01:00,0.185683427,0.0,0.002572571,0.0624,0.148990369,0.000249645
1930-05-01 21:00:00+01:00,0.177517724,0.0,0.00302565,0.0624,0.148990369,0.000249645
1930-05-01 22:00:00+01:00,0.170061673,0.0,0.003639996,0.0624,0.148990369,0.000249645
1930-05-01 23:00:00+01:00,0.162278818,0.0,0.004692062,0.0624,0.148990369,0.000249645
1930-06-01 00:00:00+01:00,0.142075627,0.0,0.006719401,0.0624,0.151278412,0.000244652
1930-06-01 01:00:00+01:00,0.137568769,0.0,0.005882356,0.0624,0.151278412,0.000244652
1930-06-01 02:00:00+01:00,0.135667013,0.0,0.004354172,0.0624,0.15125293,0.000244652
1930-06-01 03:00:00+01:00,0.133742417,0.00084405,0.004146831,0.0624,0.15125293,0.000244652
1930-06-01 04:00:00+01:00,0.132560418,0.002883832,0.004308096,0.0624,0.15125293,0.000244652
1930-06-01 05:00:00+01:00,0.132259111,0.013223439,0.003355861,0.0624,0.15125293,0.000244652
1930-06-01 06:00:00+01:00,0.13799744,0.024758751,0.008954082,0.0624,0.15125293,0.000244652
1930-06-01 07:00:00+01:00,0.147564612,0.034746726,0.012883435,0.0624,0.15125293,0.000244652
1930-06-01 08:00:00+01:00,0.153860997,0.042202464,0.014621801,0.0624,0.15125293,0.000244652
1930-06-01 09:00:00+01:00,0.156146239,0.046985447,0.014979043,0.0624,0.15125293,0.000244652
1930-06-01 10:00:00+01:00,0.157554483,0.049025189,0.01466949,0.0624,0.15125293,0.000244652
1930-06-01 11:00:00+01:00,0.155517005,0.048532875,0.014097919,0.0624,0.15125293,0.000244652
1930-06-01 12:00:00+01:00,0.153048618,0.04557872,0.0132406,0.0624,0.15125293,0.000244652
1930-06-01 13:00:00+01:00,0.153129413,0.040092328,0.012288057,0.0624,0.15125293,0.000244652
1930-06-01 14:00:00+01:00,0.153804859,0.03221458,0.011526039,0.0624,0.15125293,0.000244652
1930-06-01 15:00:00+01:00,0.156049976,0.022226605,0.011097379,0.0624,0.15125293,0.000244652
1930-06-01 16:00:00+01:00,0.157984135,0.011183698,0.010382973,0.0624,0.15125293,0.000244652
1930-06-01 17:00:00+01:00,0.165090703,0.002321132,0.010930661,0.0624,0.15125293,0.000244652
1930-06-01 18:00:00+01:00,0.165936744,0.000422025,0.014764714,0.0624,0.15125293,0.000244652
1930-06-01 19:00:00+01:00,0.159723687,0.0,0.016479351,0.0624,0.15125293,0.000244652
1930-06-01 20:00:00+01:00,0.153848949,0.0,0.015383897,0.0624,0.15125293,0.000244652
1930-06-01 21:00:00+01:00,0.145094804,0.0,0.013669259,0.0624,0.15125293,0.000244652
1930-06-01 22:00:00+01:00,0.136675504,0.0,0.012240446,0.0624,0.15125293,0.000244652
1930-06-01 23:00:00+01:00,0.13074055,0.0,0.010930661,0.0624,0.15125293,0.000244652
1930-07-01 00:00:00+01:00,0.127645669,0.0,0.013454929,0.0624,0.143490571,0.000219687
1930-07-01 01:00:00+01:00,0.127523235,0.0,0.013216794,0.0624,0.143490571,0.000219687
1930-07-01 02:00:00+01:00,0.125424131,0.0,0.01281194,0.0624,0.138397418,0.000219687
1930-07-01 03:00:00+01:00,0.124959894,7.03e-05,0.012407164,0.0624,0.138397418,0.000219687
1930-07-01 04:00:00+01:00,0.12986434,0.003024514,0.010406779,0.0624,0.138397418,0.000219687
1930-07-01 05:00:00+01:00,0.144711856,0.010691293,0.012502387,0.0624,0.138397418,0.000219687
1930-07-01 06:00:00+01:00,0.16278997,0.021030882,0.01281194,0.0624,0.138397418,0.000219687
1930-07-01 07:00:00+01:00,0.171481833,0.030315448,0.011764174,0.0624,0.138397418,0.000219687
1930-07-01 08:00:00+01:00,0.164928301,0.037208568,0.011097379,0.0624,0.138397418,0.000219687
1930-07-01 09:00:00+01:00,0.159162881,0.040584732,0.010525808,0.0624,0.138397418,0.000219687
1930-07-01 10:00:00+01:00,0.160822651,0.040233028,0.010049537,0.0624,0.138397418,0.000219687
1930-07-01 11:00:00+01:00,0.159875633,0.037560182,0.009597071,0.0624,0.138397418,0.000219687
1930-07-01 12:00:00+01:00,0.162565116,0.032917899,0.009049383,0.0624,0.138397418,0.000219687
1930-07-01 13:00:00+01:00,0.167805769,0.027712997,0.008525423,0.0624,0.138397418,0.000219687
1930-07-01 14:00:00+01:00,0.172310182,0.021101278,0.008192064,0.0624,0.138397418,0.000219687
1930-07-01 15:00:00+01:00,0.170390834,0.014419162,0.007977734,0.0624,0.138397418,0.000219687
1930-07-01 16:00:00+01:00,0.175549172,0.007596447,0.007264633,0.0624,0.138397418,0.000219687
1930-07-01 17:00:00+01:00,0.188952065,0.002110128,0.006166491,0.0624,0.138397418,0.000219687
1930-07-01 18:00:00+01:00,0.188115256,0.0,0.007164802,0.0624,0.138397418,0.000219687
1930-07-01 19:00:00+01:00,0.180467795,0.0,0.008906471,0.0624,0.138397418,0.000219687
1930-07-01 20:00:00+01:00,0.173473335,0.0,0.009835207,0.0624,0.138397418,0.000219687
1930-07-01 21:00:00+01:00,0.166389143,0.0,0.010930661,0.0624,0.138397418,0.000219687
1930-07-01 22:00:00+01:00,0.158737648,0.0,0.01169268,0.0624,0.138397418,0.000219687
1930-07-01 23:00:00+01:00,0.150009817,0.0,0.011121185,0.0624,0.138397418,0.000219687
1930-08-01 00:00:00+01:00,0.153392815,0.0,0.008644529,0.0624,0.115060439,0.000184738
1930-08-01 01:00:00+01:00,0.147353216,0.0,0.008906471,0.0624,0.115060439,0.000184738
1930-08-01 02:00:00+01:00,0.149456234,0.0,0.009049383,0.0624,0.114509398,0.000184738
1930-08-01 03:00:00+01:00,0.148270995,0.0,0.009144606,0.0624,0.114509398,0.000184738
1930-08-01 04:00:00+01:00,0.151066862,0.000211013,0.008644529,0.0624,0.114509398,0.000184738
1930-08-01 05:00:00+01:00,0.166929457,0.00274316,0.006980498,0.0624,0.114509398,0.000184738
1930-08-01 06:00:00+01:00,0.176868539,0.006963406,0.005713411,0.0624,0.114509398,0.000184738
1930-08-01 07:00:00+01:00,0.18551192,0.012168416,0.00516818,0.0624,0.114509398,0.000184738
1930-08-01 08:00:00+01:00,0.176003568,0.017795418,0.004569193,0.0624,0.114509398,0.000184738
1930-08-01 09:00:00+01:00,0.165813428,0.022648705,0.003570882,0.0624,0.114509398,0.000184738
1930-08-01 10:00:00+01:00,0.161357468,0.026446879,0.002572571,0.0624,0.114509398,0.000184738
1930-08-01 11:00:00+01:00,0.156906913,0.026657884,0.001881432,0.0624,0.114509398,0.000184738
1930-08-01 12:00:00+01:00,0.157933004,0.024688447,0.001520505,0.0624,0.114509398,0.000184738
1930-08-01 13:00:00+01:00,0.159845233,0.021101278,0.001405315,0.0624,0.114509398,0.000184738
1930-08-01 14:00:00+01:00,0.169966491,0.016458995,0.001451391,0.0624,0.114509398,0.000184738
1930-08-01 15:00:00+01:00,0.175665408,0.010831993,0.001451391,0.0624,0.114509398,0.000184738
1930-08-01 16:00:00+01:00,0.180148256,0.004220246,0.001620336,0.0624,0.114509398,0.000184738
1930-08-01 17:00:00+01:00,0.19772356,0.000140675,0.002142529,0.0624,0.114509398,0.000184738
1930-08-01 18:00:00+01:00,0.203078248,0.0,0.002618647,0.0624,0.114509398,0.000184738
1930-08-01 19:00:00+01:00,0.195799384,0.0,0.002741516,0.0624,0.114509398,0.000184738
1930-08-01 20:00:00+01:00,0.18464641,0.0,0.002526495,0.0624,0.114509398,0.000184738
1930-08-01 21:00:00+01:00,0.172580755,0.0,0.002288436,0.0624,0.114509398,0.000184738
1930-08-01 22:00:00+01:00,0.16510431,0.0,0.002119491,0.0624,0.114509398,0.000184738
1930-08-01 23:00:00+01:00,0.160906102,0.0,0.002027339,0.0624,0.114509398,0.000184738
1930-09-01 00:00:00+01:00,0.134563592,0.0,0.009906625,0.0624,0.095981025,0.000149787
1930-09-01 01:00:00+01:00,0.130962348,0.0,0.010621108,0.0624,0.095981025,0.000149787
1930-09-01 02:00:00+01:00,0.12921411,0.0,0.012121339,0.0624,0.093645204,0.000149787
1930-09-01 03:00:00+01:00,0.128761427,0.0,0.013407318,0.0624,0.093645204,0.000149787
1930-09-01 04:00:00+01:00,0.132784215,0.0,0.015288596,0.0624,0.093645204,0.000149787
1930-09-01 05:00:00+01:00,0.145661633,0.00218046,0.018027271,0.0624,0.093645204,0.000149787
1930-09-01 06:00:00+01:00,0.156414224,0.013786149,0.019741832,0.0624,0.093645204,0.000149787
1930-09-01 07:00:00+01:00,0.167006092,0.018358127,0.022194682,0.0624,0.093645204,0.000149787
1930-09-01 08:00:00+01:00,0.162141357,0.026657884,0.023099613,0.0624,0.093645204,0.000149787
1930-09-01 09:00:00+01:00,0.160374206,0.037138172,0.023361631,0.0624,0.093645204,0.000149787
1930-09-01 10:00:00+01:00,0.161587039,0.041428751,0.023361631,0.0624,0.093645204,0.000149787
1930-09-01 11:00:00+01:00,0.160958907,0.040233028,0.023313942,0.0624,0.093645204,0.000149787
1930-09-01 12:00:00+01:00,0.164164397,0.041428751,0.023147301,0.0624,0.093645204,0.000149787
1930-09-01 13:00:00+01:00,0.169245377,0.035801749,0.022956777,0.0624,0.093645204,0.000149787
1930-09-01 14:00:00+01:00,0.172028172,0.025673165,0.022599536,0.0624,0.093645204,0.000149787
1930-09-01 15:00:00+01:00,0.165740413,0.011535312,0.021837517,0.0624,0.093645204,0.000149787
1930-09-01 16:00:00+01:00,0.172995031,0.000914387,0.020432509,0.0624,0.093645204,0.000149787
1930-09-01 17:00:00+01:00,0.185145236,0.0,0.018956007,0.0624,0.093645204,0.000149787
