bus,x,y
bus0,16.43448328891884,48.182819169779386
bus1,16.43448328891884,48.182819169779386
bus2,16.475635276906313,48.156028623859456
bus3,16.507005507871988,48.13595660773163
bus4,16.42030320445178,48.123891890337354
bus5,16.42030320445178,48.123891890337354
bus6,16.42030320445178,48.123891890337354
bus7,16.43153858316269,48.13917865662055
bus8,16.296991741245638,48.13788877729353
bus9,16.308236306490926,48.081741628649674
bus10,16.28466868119681,48.01008445943901
bus11,16.462895567812954,48.02716660693493
bus12,16.355158596471583,47.87182120740932
bus13,16.374730020789574,47.97236123118079
bus14,16.33104278514838,48.16510316107936
bus15,16.33104278514838,48.16510316107936
bus16,16.33104278514838,48.16510316107936
bus17,16.311164717864624,48.205062186663525
bus18,16.311164717864624,48.205062186663525
bus19,16.333012357302326,48.20054058383018
bus20,16.349068039334522,48.22258008094253
bus21,16.408329253506757,48.22287476650107
bus22,16.389744646612826,48.257576784459474
bus23,16.389744646612826,48.257576784459474
bus24,16.236818276551997,48.200719497044595
bus25,16.45871610776447,48.22681220792532
bus26,16.49584292648908,48.21814231449755
bus27,16.524701306512554,48.213790373765036
bus28,16.45446004381766,48.24906253248876
bus29,16.37814199472902,48.35830970311417
bus30,16.37814199472902,48.35830970311417
bus31,16.37814199472902,48.35830970311417
bus32,16.430307764558385,48.327549753737856
bus33,16.362425351377833,48.24402593217973
bus34,16.377978146536243,48.206265032413306
bus35,16.367701757754535,48.20964449664267
bus36,16.400351219874942,48.18573475435406
bus37,16.353595014114628,48.196508075003706
bus38,16.360943620738475,48.20120068046645
bus39,16.34974155335751,48.20787427377865
bus40,16.382323049798224,48.165037143996194
bus41,16.377346682036222,48.182562418028155
bus42,16.353871071032255,48.168400846207135
bus43,16.33927578118386,48.18669290358194
bus44,16.28533601357929,48.17042682430356
bus45,16.321519385479444,48.215069839789216
bus46,16.334231878019448,48.227193775852015
bus47,16.390791649025072,48.20561221581357
bus48,16.481152874032542,48.17654358767609
bus49,16.462395569848553,48.1994174024933
bus50,16.43362926204755,48.27675380462928
bus51,14.474254887057905,48.124596164492765
bus52,14.474254887057905,48.124596164492765
bus53,14.474254887057905,48.124596164492765
