Line,bus0,bus1,type,x,r,g,b,s_nom,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,capital_cost,active,build_year,lifetime,length,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,i_nom,v_nom,dc
19,AT0 14,SI0 0,Al/St 240/40 4-bundle 380.0,52.63515092641269,6.418920844684473,0.0,7.772986289098973e-05,491.5560191880474,0.0,True,491.5560191880474,20491.556019188047,0.7,2607.824889326697,True,0,inf,61.93695551888528,AC,1.0,0.2894736842105263,-inf,inf,,0.0,0.0,0.0,0.0,0.0003645093554460713,4.445236042025258e-05,848.1898829223228,2.58,380.0,False
24,AT0 17,SI0 0,Al/St 240/40 4-bundle 380.0,10.797681254304706,1.3167903968664274,0.0,0.0007611747028288213,3396.205223481055,0.0,True,3396.2052234810553,23396.205223481054,0.7,3695.6191745225606,True,0,inf,87.78602645776185,AC,1.0,2.0000000000000004,-inf,inf,,0.0,0.0,0.0,0.0,7.477618597163924e-05,9.119047069712101e-06,3396.20538312541,2.58,380.0,False
34,AT0 2,CH0 0,Al/St 240/40 4-bundle 380.0,24.887546464298495,3.035066641987621,0.0,0.0017544295240747717,3396.205223481055,0.0,True,3396.2052234810553,23396.205223481054,0.7,8520.287093877074,True,0,inf,202.33777613250814,AC,1.0,2.0000000000000004,-inf,inf,,0.0,0.0,0.0,0.0,0.00017235142980816131,2.1018467049775768e-05,3396.2054651028157,2.58,380.0,False
35,AT0 2,DE0 10,Al/St 240/40 4-bundle 380.0,20.51614474925754,2.501968871860676,0.0,0.000601193911012784,2189.658630928575,0.0,True,2189.658630928575,22189.658630928574,0.7,4529.077354652765,True,0,inf,107.54076729927468,AC,1.0,1.2894736842105265,-inf,inf,,0.0,0.0,0.0,0.0,0.00014207856474555082,1.73266542372623e-05,3065.014527783479,2.58,380.0,False
42,AT0 24,DE0 4,Al/St 240/40 4-bundle 380.0,15.64726330201234,1.9082028417088217,0.0,0.0003697178359868425,1966.2240767521896,0.0,True,1966.2240767521896,21966.22407675219,0.7,3101.4606233207533,True,0,inf,73.64993424139313,AC,1.0,1.1578947368421053,-inf,inf,,0.0,0.0,0.0,0.0,0.00010836054918291094,1.3214701119867187e-05,3545.246482030013,2.58,380.0,False
44,AT0 25,HU0 0,Al/St 240/40 4-bundle 380.0,87.99436708217321,10.731020375874781,0.0,0.000519788769906955,983.1120383760948,0.0,True,983.1120383760948,20983.112038376094,0.7,8720.4228536704,True,0,inf,207.08986690284667,AC,1.0,0.5789473684210527,-inf,inf,,0.0,0.0,0.0,0.0,0.0006093792734222521,7.431454553929903e-05,1010.4812825732354,2.58,380.0,False
46,AT0 26,CZ0 0,Al/St 240/40 4-bundle 380.0,16.238957151752956,1.9803606282625554,0.0,0.0012684249283349508,3574.952866822163,0.0,True,3574.9528668221637,23574.95286682216,0.7,5851.065909580016,True,0,inf,138.97267566754778,AC,1.0,2.105263157894737,-inf,inf,,0.0,0.0,0.0,0.0,0.00011245815202044983,1.3714408782981685e-05,3574.953416222352,2.58,380.0,False
49,AT0 28,CZ0 0,Al/St 240/40 4-bundle 380.0,74.77307029789023,9.118667109498807,0.0,0.0004416896617485932,983.1120383760948,0.0,True,983.1120383760948,20983.112038376094,0.7,7408.085003983106,True,0,inf,175.97427755173138,AC,1.0,0.5789473684210527,-inf,inf,,0.0,0.0,0.0,0.0,0.0005178190463842814,6.314866419320503e-05,983.1121938608903,2.58,380.0,False
54,AT0 30,DE0 3,Al/St 240/40 4-bundle 380.0,128.55040401931407,15.676878538940741,0.0,0.00018983901638227203,491.5560191880474,0.0,True,491.5560191880474,20491.556019188047,0.7,6369.873961254103,True,0,inf,151.26812625293698,AC,1.0,0.2894736842105263,-inf,inf,,0.0,0.0,0.0,0.0,0.0008902382549813994,0.00010856564085139017,491.5561557117795,2.58,380.0,False
62,AT0 35,DE0 10,Al/St 240/40 4-bundle 380.0,15.122969842157808,1.8442646148972937,0.0,0.0010660827824403988,3396.205223481055,0.0,True,3396.2052234810553,23396.205223481054,0.7,5177.788287258002,True,0,inf,122.95097432648627,AC,1.0,2.0000000000000004,-inf,inf,,0.0,0.0,0.0,0.0,0.00010472970804818426,1.2771915615632228e-05,3396.205870617298,2.58,380.0,False
67,AT0 4,IT0 4,Al/St 240/40 4-bundle 380.0,100.2978290909532,12.231442572067461,0.0,0.00014811654125212277,491.5560191880474,0.0,True,491.5560191880474,20491.556019188047,0.7,4969.569423392301,True,0,inf,118.02269148486148,AC,1.0,0.2894736842105263,-inf,inf,,0.0,0.0,0.0,0.0,0.0006945833039539696,8.470528096999628e-05,1602.2200062098639,2.58,380.0,False
70,AT0 44,HU0 0,Al/St 240/40 4-bundle 380.0,22.38623049750566,2.73002810945191,0.0,0.0017485884437735035,3574.952866822163,0.0,True,3574.9528668221637,23574.95286682216,0.7,8065.427779504763,True,0,inf,191.58091996153757,AC,1.0,2.105263157894737,-inf,inf,,0.0,0.0,0.0,0.0,0.00015502929707413894,1.8906011838309628e-05,3873.5947978132494,2.58,380.0,False
72,AT0 47,DE0 10,Al/St 240/40 4-bundle 380.0,46.31035028404227,5.647603693175887,0.0,0.0002735584197750222,983.1120383760948,0.0,True,983.1120383760948,20983.112038376094,0.7,4588.596286080668,True,0,inf,108.98884320163992,AC,1.0,0.5789473684210527,-inf,inf,,0.0,0.0,0.0,0.0,0.0003207087969809022,3.911082890011002e-05,1321.307907780758,2.58,380.0,False
73,AT0 48,CH0 0,Al/St 240/40 4-bundle 380.0,48.0915367011866,5.864821548925195,0.0,0.0002840800102749895,983.1120383760948,0.0,True,983.1120383760948,20983.112038376094,0.7,4766.233049738732,True,0,inf,113.18076673364412,AC,1.0,0.5789473684210527,-inf,inf,,0.0,0.0,0.0,0.0,0.00033304388297220635,4.061510767953736e-05,983.1121602335198,2.58,380.0,False
