id,name,active,length,i_max,v_ref,r,x,c,comm,decomm,scenario,from_node,to_node,s_max,type,references,from_cc,to_cc,wkt
14013.0,189/1,1,5.64,491.0,110.0,0.1594,0.4031,0.0,2024-01-01,2100/01/01,AUT,14004.0,14107.0,93.54806411679505,,,,,"LINESTRING (404650.7044100823 494543.0160011636, 404606.1599348616 494584.49382599286, 404449.04917229485 494686.93364174385, 404251.956489408 494816.064592907, 404115.8592094684 494904.95406407956, 403967.9122786314 495002.92190631316, 403742.9626495023 495237.17688752717, 403346.5079945038 495798.2374947782, 403041.5738409743 495774.0915977069, 402787.90363998536 495753.397043731, 402516.52480740706 495732.8067855881, 402260.5784296603 495706.36474412377, 402076.92842161655 495690.6955695924, 401879.03064446454 495727.0012841035, 401693.2199364053 495759.036649847, 401505.2637869822 495786.4750225404, 401311.81094625883 495821.16697095067, 401098.8898895667 495862.26611248037, 400903.93169263384 495888.1222423178, 400709.5232044258 495917.5091825437, 400473.0215823593 495960.9643530386, 400357.90801657335 496082.8397282929, 400182.8688973819 496269.6650206155, 400072.0048125884 496387.98867721995, 399902.96917167446 496568.10767604347, 399879.0764135015 496637.51706900744)"
18021.0,197/11,1,5.79,407.0,110.0,0.2049,0.4046,0.0,2024-01-01,2100/01/01,AUT,18010.0,18042.0,77.54391465485863,,,,,"LINESTRING (111774.43299133709 374220.2549705853, 116750.38946476525 377185.48508907773)"
18040.0,192/7,1,2.81,440.0,110.0,0.1515,0.1574,0.0,2024-01-01,2100/01/01,AUT,18035.0,18025.0,83.83125908633365,,,,,"LINESTRING (130404.76077362579 411034.8433596441, 130382.87874299816 410977.98624418344, 130011.26957376332 411136.33796458633, 129791.85079194742 411238.5390395409, 129555.30218188796 411446.0204183903, 129412.06197159603 411647.7688537179, 129344.07654271566 411743.2904084372, 129305.51374989806 411797.4722821845, 129282.69697968315 411798.7603256644, 129207.05952920756 411809.10215820064, 129170.4531907227 411811.82476667454, 129137.97609440873 411810.973737947, 129137.97609440873 411810.973737947, 129076.24201048048 411802.8084623154, 129054.06926200552 411796.6212534568, 128926.28557347215 411747.8682327251, 128860.49472760162 411752.45976271835, 128836.90147667193 411796.4290030873, 128825.98063823953 411817.46158451744, 128772.02929659036 411921.59571358445, 128752.9838537567 411955.9733368125, 128712.10234339024 412029.76574860606, 128572.25762271821 412194.6353140299, 128514.28704083263 412248.4485055755, 128419.90047967026 412340.36823346704, 128315.38495158906 412221.8682333187)"
37166.0,402,1,33.72,2180.0,380.0,0.0216,0.2922,0.0,2024-01-01,2100/01/01,AUT,37052.0,30007.0,1434.830888990058,,,,,"LINESTRING (359868.98957263 325058.04255594505, 359846.9676903141 325008.9521099493, 359830.3083729717 324936.9867633424, 359567.6292074849 324718.8487252842, 359285.5934962807 324484.65168232453, 359016.2975131875 324261.05983052053, 358742.1805334794 324207.2032674103, 358441.93573751743 324148.2311016308, 358130.16270703694 324086.9998444404, 357843.13173382706 324030.65361498634, 357530.1847284319 323969.22882339655, 357269.7484276741 323918.13117029483, 357186.161425736 323871.1474992243, 356901.0744729618 323710.9048024463, 356642.12371698365 323565.36508704803, 356372.74650336 323413.97883671813, 356081.1477083336 323250.1335476104, 355836.47963596275 323112.65779951215, 355675.3495457742 322892.00765806827, 355431.3412051995 322734.98263613594, 355177.56262674095 322573.4739316745, 354864.5759222258 322679.24561663996, 354682.96303854807 322740.09950637247, 354462.99932093354 322604.65739385434, 354244.57153778116 322469.7782560956, 354070.11566080275 322240.449911049, 353858.21664461744 321962.5061677421, 353608.35011608433 321893.7030562399, 353280.8942384364 321804.44110413536, 353018.8012369238 321697.33798962075, 352826.98014110804 321617.18027041527, 352573.17946478445 321270.3980774807, 352376.3139922494 320999.0873221934, 352275.49848754687 320863.209096669, 352142.38670590596 320683.33787305513, 351863.69432397396 320305.84540784504, 351738.1244054446 320145.60468278476, 351644.5692890959 319329.3009423396, 351765.09606854786 318616.07343509205, 351714.45509450417 318506.0459682396, 351589.5042181871 318232.81022610446, 351505.61775420565 318051.1209791008, 351396.52961049904 317814.1191271847, 351288.7397353247 317579.9759307775, 351166.5706881087 317311.39950448234, 351359.13804609707 317049.05945190176, 351558.05353643064 316778.08238743915, 351680.8794801205 316610.76297385705, 351811.91819313966 316432.27602314577, 351942.04294236365 316255.0442438033, 352080.38215114747 316066.62337848573, 352184.7374529154 315924.49367801973, 352388.9360037233 315646.4112889133, 352487.8414938902 315511.7218918506, 352760.93196577294 315139.8504726961, 352869.34171231446 314992.24350038473, 353082.7978822948 314701.6191292976, 353031.22842665465 314497.928320622, 352874.90545107285 313880.5805357173, 352812.2962707634 313633.3452228958, 352769.651688873 313464.97270331514, 352686.1785236071 313135.37147112284, 352667.5565624259 313061.8335651291, 352360.2183648897 312433.40688052285, 352283.5797333371 312276.7149982978, 352219.07230593835 312144.82175033016, 352100.13281152264 311901.6613317217, 351850.894749289 311849.939088159, 351484.79848854174 311775.734704471, 351298.78975528176 311737.9429212857, 350943.3464737786 311668.4631018915, 350706.1196977863 311629.1925144453, 350430.81476815545 311644.9994253202, 350087.79186250496 311664.7249808839, 349889.35704807146 311676.14048111625, 349648.26276125765 311597.5226203624, 349464.97645407834 311537.7586782832, 349125.42221913906 311427.05090753664, 348883.45398230135 311351.4500424401, 348614.52945942536 311260.53329231706, 348320.8143678127 311349.0297000107, 348007.97380392597 311443.3216146736, 347737.078394014 311524.9777675685, 347519.38816469524 311590.60257737996, 347251.35802702815 311671.42197678826, 347001.8147939924 311671.1423306159, 346709.1770118691 311670.81694899325, 346388.8520436581 311670.49027511774, 346095.54111490265 311670.2012220657, 345748.9431554987 311669.88193606614, 345426.1784750009 311669.60732411616, 345123.194449268 311669.3555467093, 344851.6518505004 311669.1481665238, 344723.9027987075 311440.6078695544, 344619.72432504373 311254.25058457797, 344500.8005959814 311041.5034901606, 344366.14094401966 310800.63179922185, 344204.98309268156 310512.37686485634, 344085.2832313168 310298.3001949856, 343992.2445946099 310131.88727871, 343870.49087920366 309914.1442207253, 343760.3378027263 309717.1660033642, 343619.5875610744 309465.4651774223, 343565.0197017798 309101.5564288152, 343525.5708787064 308843.5459386157, 343328.0221383138 308621.00248217897, 343233.10925302707 308508.1122971075, 343134.6844472862 308393.96806999954, 342997.5216151726 308237.04135266034, 342859.1881361583 308082.4408126551, 342710.05175553716 307910.4539325923, 342552.32492742944 307727.73977219354, 342460.35233114316 307627.48122217663, 342337.0277804253 307590.02579227486, 342047.95724194817 307516.3158523386, 341681.96534044255 307409.367294316, 341484.6877078598 307353.7530344478, 341359.09115878737 307316.81815036724, 341250.2265938274 307056.975496592, 341210.48109318694 306667.17576896225, 340961.4894821828 306522.0432292436, 340818.32155512617 306438.66429724084)"
11036.0,140-3,1,20.227,927.0,110.0,0.0247,0.1979,233.0,2024-01-01,2365/01/01,BGL,11006.0,11024.0,176.6,,,,,"LINESTRING (677686.2984631045 441801.3155741948, 677702.9653040393 441886.4485259681, 677079.2569279759 443009.8342715629, 677859.0246158841 443688.1472924335, 678200.4789241191 444251.3533053713, 677208.4714297736 444904.46450451406, 676072.3372563954 445641.801971525, 675069.065787758 446279.889931888, 674984.5780740863 446354.675668655, 674813.0590790142 448528.0983016668, 674573.6697018533 448740.2320162892, 674040.1637854872 449212.9956499697, 673843.2421757965 449393.72497221926, 673685.998776017 449529.08189575555, 673485.1986375644 449707.4476167214, 673239.2411974617 449924.3667499732, 673277.0365574153 449996.2599783706, 673343.9855913694 450083.32371581765, 673391.2080283165 450148.38402365166, 673449.6166123962 450209.1754075205, 673525.4810465486 450288.7717782256, 673523.1587539252 450310.7507983093, 673530.7159874027 450325.23882563424, 673531.3685522154 450344.2755900022, 673524.9081029645 450371.9685065324, 673499.0605614355 450461.4193821619, 673459.1080973612 450549.42727140663, 673391.6757344315 450679.2947681352, 673358.4147664062 450740.14409990393, 673356.2296299256 450748.25345344574, 673361.3874300343 450759.02298827615, 673373.1260077457 450772.4279773943, 673379.7812398582 450784.29176398355, 673378.9163896545 450791.6954533874, 673377.0530431361 450803.9371809365, 673364.4175760831 450820.5568826546, 673352.9337967061 450834.64920274535, 673330.7455932607 450851.8430821254, 673127.4643354797 450989.44207117317, 672942.4068682676 451117.62235963345, 672835.8785994952 451191.96746312187, 672795.1828313882 451219.3323507459, 672783.0872437272 451224.6729209975, 672760.8591336892 451220.80239915673, 672684.5095943351 451206.43407806364, 672669.5355294074 451207.26656713645, 672628.3802459652 451234.39958155295, 672609.4442405091 451241.68939719466, 672553.7566089617 451270.1436871136, 672491.3031730298 451300.0836710509, 672456.2619354697 451311.2807190738, 672451.4581793268 451325.9551787234, 672451.9009856199 451343.9470138227, 672506.7672457561 451481.087549153, 672513.0764265317 451489.3398697492, 672532.472333226 451504.1151447396, 672568.6176442013 451609.30036788824, 672598.457757876 451696.1370537808, 672618.6702557204 451752.55934848235, 672637.4256322859 451804.9141535076, 672653.6564795692 451847.07104490884, 672701.8764188727 451956.6503985023, 672764.0171409132 452106.99938162963, 672793.0088940077 452172.0894770292, 672858.3028470596 452305.69614963525, 672862.7563950442 452319.3365367781, 672866.246143744 452342.02293211804, 672922.7348049846 452445.7951706947, 673042.5827198192 452642.7930469038, 673055.8378378225 452655.2118080353, 673063.7798766395 452664.48750304297, 673075.135647258 452694.0649016295, 673103.3638447148 452740.41538504505, 673153.4424348953 452825.55036790966, 673180.6296490994 452882.3902635016, 673195.9165946444 452936.65617350466, 673184.5251444525 452950.46372925624, 673271.0572526865 453297.81553728675, 673281.8153791119 453316.36004197545, 673436.143167035 453882.19430551503, 673450.2681128338 453933.98263483145, 673462.0756233409 453988.63100563776, 673466.5552439957 454040.38590158144, 673467.172711499 454073.63139906037, 673464.4677717858 454123.4231550768, 673451.4009762115 454145.67510191683, 673444.216682316 454155.14020098245, 673443.8063893139 454167.81766316266, 673469.0757410689 454307.682611005, 673471.0318979558 454324.09923890163, 673469.0546529524 454342.88992430747, 673463.0112540157 454351.31822991767, 673420.8957198443 454383.6298491992, 673402.8088970672 454400.38195666205, 673382.7283459303 454424.85190528206, 673371.3650870293 454445.7265113733, 673362.6471545484 454468.55068871, 673355.0624875405 454490.3377312732, 673341.8251914761 454512.5818617809, 673323.2698360311 454523.8929000608, 673256.6576973072 454562.8748548901, 672841.1232208502 454808.3434067231, 673178.9840404887 455344.3832588658, 673363.3978427745 455257.64670508605)"
14006.0,188/5,1,20.84,689.0,110.0,0.1013,0.398,0.0,2024-01-01,2100/01/01,AUT,14001.0,14106.0,131.2721307056452,,,,,"LINESTRING (381182.70742254076 484142.08813339367, 381182.70742254076 484142.08813339367, 381152.8550068243 484197.55977224896, 381217.4255247744 484438.0138900587, 381282.10355523217 484687.9401013898, 381340.5576828891 484902.23599630967, 381589.10089029337 484969.0715680409, 381829.6163244294 485031.8302809055, 382050.10050873697 485096.8856314053, 382286.1490096601 485158.6658602709, 382524.8628192116 485219.92505625344, 382736.94538805773 485336.470126896, 382945.27400221705 485456.40269944415, 383186.453326782 485594.8772557291, 383575.4060049406 485815.7858761577, 383793.5073824504 485938.05333018623, 384050.244285413 485988.1730861391, 384298.0496433106 486049.0610610471, 384543.60395235085 486106.6829959661, 384800.9546663344 486165.0063263802, 385045.4110088363 486218.1391272173, 385304.8675095037 486279.703275768, 385583.5308096302 486341.2190323388, 385851.4480190506 486404.79838434386, 386107.7123827857 486463.78305923473, 386386.590898263 486526.47101623, 386673.2517333726 486590.99950600264, 386924.2921553871 486650.86655952025, 387068.84855702595 486857.9524525903, 387211.081793461 487052.90772612387, 387362.4292444848 487270.01330428774, 387509.88345947827 487473.0131539714, 387645.09923635627 487658.4345073858, 387660.7906193211 487878.89304612647, 387566.1261466066 488144.7842610048, 387468.2769387056 488421.6592227969, 387612.00313551485 488564.1587967347, 387810.586996722 488769.0673423221, 388014.3872922456 488974.57207937003, 388301.9883047816 489030.70871452417, 388519.52257574815 489069.8819921365, 388819.4108679657 489129.39896814513, 389106.71185360826 489180.4403178903, 389338.143507722 489228.25547778996, 389632.0075223715 489283.9463462343, 389917.00699404906 489337.9783366075, 390178.22952239873 489387.5080471388, 390467.8939669522 489443.13772668975, 390759.85461889044 489500.37902256043, 391017.4337743033 489548.7299227421, 391261.7831970472 489596.0791216005, 391524.9191601892 489646.3783797524, 391792.5289424899 489695.92711823795, 392048.46933358355 489746.36092896876, 392337.30107084033 489837.68236111494, 392622.0158411102 489935.1825621583, 392909.3717724743 490023.6553654776, 393128.65304461017 490098.2746440553, 393399.6400869503 490185.91399498703, 393581.6921139427 490246.2302198494, 393848.30709278496 490333.4416479375, 394138.620546882 490429.32088413474, 394381.8174586907 490506.5527967508, 394667.528811363 490600.5846551807, 394949.9342813293 490690.0757803285, 395157.32363118057 490758.4911530908, 395410.6485667506 490841.0715192792, 395697.4607896605 490934.9201524929, 395953.7953987529 491017.4775865995, 396233.38590172154 491052.07124286104, 396521.9582449772 491084.5603844166, 396820.3454879789 491119.0480458682, 397118.40327190695 491154.2183653568, 397416.389372233 491186.76940585766, 397703.43632772606 491220.7303518564, 397986.5138283349 491256.39696309913, 398294.35118621896 491289.87888908084, 398595.6756947776 491325.2690513138, 398819.5881059025 491349.15445184533, 398950.36156175286 491364.9448263036, 398999.79880492645 491272.3376630877)"
14007.0,182/5,1,13.57,701.0,110.0,0.0989,0.3977,0.0,2024-01-01,2100/01/01,AUT,14001.0,14105.0,133.5584377716361,,,,,"LINESTRING (381331.77549585735 483979.39165917505, 381721.57230048656 483812.4294728329, 381821.8195990863 483638.16378827015, 381982.67733378353 483360.11039997323, 382092.5299472591 483170.6004788744, 382197.2385390696 482920.0335119843, 382309.65072917735 482650.8797714063, 382437.76127387275 482344.6390666724, 382565.379736137 482038.14740964613, 382691.7115412158 481736.3318827901, 382820.174208681 481427.42060094315, 382953.0121234127 481109.08361320733, 383051.6438376049 480872.84848190617, 383323.79760059936 481051.176886568, 383563.8207226159 481207.2332498266, 383795.3640618215 481360.7892430505, 384039.0135279224 481521.39072300354, 384256.0855029042 481663.9338044813, 384486.6421318698 481815.041398206, 384722.4090972154 481969.51257039467, 384973.4948370248 482133.75772821874, 385149.4110039988 482251.2089314981, 385366.0821576082 482392.1164220936, 385553.2260503919 482536.17553726264, 385790.6880499016 482717.57762205997, 385955.92950581905 482847.11977991345, 386193.7799804908 483024.7245938048, 386431.6372253432 483211.266012645, 386672.4620151277 483397.06551086705, 386909.5290606074 483579.51547758566, 387147.06186147756 483761.1738068938, 387385.0437854263 483944.5418638841, 387389.8998631149 484184.31961871166, 387393.6456722371 484422.3769633825, 387401.19336100837 484724.35868848837, 387406.63826886646 485022.34339476825, 387413.2687186056 485329.6416777676, 387523.076894947 485563.784965475, 387624.10736571247 485785.94358695036, 387661.55208073853 485933.32642734284, 387735.40300926444 486220.6692662648, 387816.01259791176 486531.3107986182, 387891.7128853212 486823.0989965589, 387964.9333321607 487110.73606390745, 388018.73648280214 487321.1976211445, 387867.85851871717 487496.4557145812, 387714.8076169961 487671.3001793722, 387576.38964252936 487823.0267656716, 387369.13739887066 488065.5317807768, 387228.5793277316 488039.0982502297)"
14008.0,182/6,1,13.58,701.0,110.0,0.0989,0.3977,0.0,2024-01-01,2100/01/01,AUT,14001.0,14105.0,133.5584377716361,,,,,"LINESTRING (387217.9613646178 488055.5820810765, 387369.13739887066 488065.5317807768, 387576.38964252936 487823.0267656716, 387714.8076169961 487671.3001793722, 387867.85851871717 487496.4557145812, 388018.73648280214 487321.1976211445, 387964.9333321607 487110.73606390745, 387891.7128853212 486823.0989965589, 387816.01259791176 486531.3107986182, 387735.40300926444 486220.6692662648, 387661.55208073853 485933.32642734284, 387624.10736571247 485785.94358695036, 387523.076894947 485563.784965475, 387413.2687186056 485329.6416777676, 387406.63826886646 485022.34339476825, 387401.19336100837 484724.35868848837, 387393.6456722371 484422.3769633825, 387389.8998631149 484184.31961871166, 387385.0437854263 483944.5418638841, 387147.06186147756 483761.1738068938, 386909.5290606074 483579.51547758566, 386672.4620151277 483397.06551086705, 386431.6372253432 483211.266012645, 386193.7799804908 483024.7245938048, 385955.92950581905 482847.11977991345, 385790.6880499016 482717.57762205997, 385553.2260503919 482536.17553726264, 385366.0821576082 482392.1164220936, 385149.4110039988 482251.2089314981, 384973.4948370248 482133.75772821874, 384722.4090972154 481969.51257039467, 384486.6421318698 481815.041398206, 384256.0855029042 481663.9338044813, 384039.0135279224 481521.39072300354, 383795.3640618215 481360.7892430505, 383563.8207226159 481207.2332498266, 383323.79760059936 481051.176886568, 383051.6438376049 480872.84848190617, 382953.0121234127 481109.08361320733, 382820.174208681 481427.42060094315, 382691.7115412158 481736.3318827901, 382565.379736137 482038.14740964613, 382437.76127387275 482344.6390666724, 382309.65072917735 482650.8797714063, 382197.2385390696 482920.0335119843, 382092.5299472591 483170.6004788744, 381982.67733378353 483360.11039997323, 381821.8195990863 483638.16378827015, 381721.57230048656 483812.4294728329, 381331.77549585735 483979.39165917505)"
14012.0,188/3B,1,7.25,535.0,110.0,0.1421,0.4021,0.0,2024-01-01,2100/01/01,AUT,14106.0,14004.0,101.93119002542842,,,,,"LINESTRING (399062.58210809215 491297.6487769464, 399043.9567830136 491400.56313360296, 399229.53411464306 491513.89825230296, 399435.21992133796 491638.70924569643, 399633.7522763549 491852.14249324106, 399829.1635415753 492063.4818671726, 400029.9721838309 492277.72937029094, 400222.96747424913 492481.65633344976, 400453.16790176433 492451.02038815257, 400723.01573197247 492414.40452373633, 400926.26744103513 492387.2094955634, 401127.3045548509 492360.14359953464, 401367.63384251273 492327.7002957189, 401643.6315589403 492290.1615651304, 401892.7439483165 492257.44211837224, 402142.4149979199 492225.2338981903, 402437.37219572114 492184.44875245896, 402603.3156007769 492391.65812891047, 402765.1188640326 492597.2809159561, 402912.69510080264 492783.1912492454, 403064.6990356933 492974.68843664695, 403225.9073713268 493177.900823811, 403397.34002714045 493394.5529213348, 403554.912114519 493590.7023869734, 403746.70179629215 493744.3760390936, 403895.58326517005 493867.16779297165, 404075.95788433746 494007.827221512, 404288.1845136186 494177.3746738178, 404498.48780274956 494345.4834229615, 404701.9151813873 494506.21286903194, 404674.993095325 494535.99735986034)"
14014.0,189/2,1,5.64,491.0,110.0,0.1594,0.4031,0.0,2024-01-01,2100/01/01,AUT,14004.0,14107.0,93.54806411679505,,,,,"LINESTRING (399897.6021350276 496637.28693582077, 399902.96917167446 496568.10767604347, 400072.0048125884 496387.98867721995, 400182.8688973819 496269.6650206155, 400357.90801657335 496082.8397282929, 400473.0215823593 495960.9643530386, 400709.5232044258 495917.5091825437, 400903.93169263384 495888.1222423178, 401098.8898895667 495862.26611248037, 401311.81094625883 495821.16697095067, 401505.2637869822 495786.4750225404, 401693.2199364053 495759.036649847, 401879.03064446454 495727.0012841035, 402076.92842161655 495690.6955695924, 402260.5784296603 495706.36474412377, 402516.52480740706 495732.8067855881, 402787.90363998536 495753.397043731, 403041.5738409743 495774.0915977069, 403346.5079945038 495798.2374947782, 403742.9626495023 495237.17688752717, 403967.9122786314 495002.92190631316, 404115.8592094684 494904.95406407956, 404251.956489408 494816.064592907, 404449.04917229485 494686.93364174385, 404606.1599348616 494584.49382599286, 404650.7044100823 494543.0160011636)"
