country,sub_network,electricity demand (MW)
AL,0,0.0208333333333333
AT,0,0.0208333333333333
BA,0,0.0208333333333333
BE,0,0.0208333333333333
BG,0,0.0208333333333333
CH,0,0.0208333333333333
CZ,0,0.0208333333333333
DE,0,0.0208333333333333
DK,0,0.020833333333333398
DK,1,0.0208333333333333
EE,0,0.0208333333333333
ES,0,0.020833333333333398
ES,6,0.0208333333333333
FI,1,0.0208333333333333
FR,0,0.020833333333333398
FR,5,0.0208333333333333
GB,2,0.020833333333333398
GB,3,0.0208333333333333
GR,0,0.0208333333333333
HR,0,0.0208333333333333
HU,0,0.0208333333333333
IE,3,0.0208333333333333
IT,0,0.1041666666666667
IT,4,0.0208333333333333
LT,0,0.0208333333333333
LU,0,0.0208333333333333
LV,0,0.0208333333333333
ME,0,0.0208333333333333
MK,0,0.0208333333333333
NL,0,0.0208333333333333
NO,1,0.0625
PL,0,0.0208333333333333
PT,0,0.0208333333333333
RO,0,0.0208333333333333
RS,0,0.0208333333333333
SE,1,0.0833333333333333
SI,0,0.0208333333333333
SK,0,0.0208333333333333
XK,0,0.0208333333333333
