Bus,x,y
AT17-380,15.75356160000001,47.03522759207177
AT18-220,10.06077299999999,46.93462749200565
AT19-220,13.34330582737483,46.89540874681433
AT20-220,14.1721583,46.54846409174725
BA1-220,16.678952700000007,44.93118399058617
BA16-220,17.675840749794148,43.74706228969273
BA17-220,17.68831679989812,43.72362853969139
BA18-220,17.754869598202273,43.660186909128925
BA19-220,17.720387834118576,43.58775827399669
BA2-400,17.160075300000006,44.85934929053172
BA20-220,17.337784600000006,43.4507207894146
BA21-220,17.849607700993605,43.44910408973016
BA22-220,17.82196444854754,43.28267393989478
BA23-220,17.800559444681674,43.28121787093424
BA25-220,17.803684349659637,43.01231168920064
BA3-220,15.880297399999996,44.82940889050892
BA6-220,17.962361357541017,44.19172867704639
CH14-220,7.64867862873702,47.09248033101623
CH14-380,7.64894912036779,47.09267724503219
CH15-220,8.226235799999998,47.07525139209797
CH16-380,9.102885400000002,46.99866639204784
CH17-380,9.480653222217464,46.94826490077518
CH18-220,8.986202173368362,46.8814535745526
CH18-380,8.986476531960689,46.8816471536762
CH19-220,8.093261700000006,46.81011519192313
CH20-220,8.129042299999997,46.78897599190908
CH21-220,9.401878900000003,46.78628529190726
CH22-220,9.563242994381405,46.66448012540763
CH22-380,9.563518331164898,46.664672258112745
CH23-220,8.593162875347948,46.65543434696665
CH24-220,8.5784507,46.649952591815854
CH25-220,8.300573326013273,46.64490691155125
CH26-220,8.553275959953941,46.62345494349903
CH27-220,8.307465191938903,46.61827936537701
CH28-220,8.561304500000007,46.612461191790615
CH29-220,9.61142265835349,46.58193762850617
CH29-380,9.61169774316021,46.58212964674907
CH30-380,9.917665999999992,46.56862939176091
CH32-220,8.94427739999999,46.53467799173789
CH33-380,9.885643100000005,46.52612579173206
CH34-220,8.315100142930977,46.49789837986062
CH34-380,8.31537010459449,46.498093686763454
CH35-220,8.473317399999997,46.48875169170661
CH36-220,8.345911817931027,46.48402295338908
CH37-380,9.91567050000001,46.48232639170228
CH38-220,8.412662400000002,46.4773330916989
CH39-220,8.377911700000002,46.47354669169631
CH40-220,8.452100799999993,46.46114219168781
CH41-380,9.217223699999993,46.42086779166025
CH42-220,8.646432700000005,46.41078269165339
CH43-220,7.285690599999993,46.379313191631766
CH44-220,7.295270499999999,46.352076391613046
CH45-220,9.515274700000008,46.335742191601824
CH46-220,8.009960118485868,46.33259394514109
CH47-220,7.909083200000005,46.300225691577296
CH48-225,6.8250681999999925,46.26525589155308
CH49-225,6.850324000000004,46.25861799154848
CH50-220,9.015880900000004,46.24290219153763
CH53-225,6.982624699999996,46.22439339152478
CH56-220,8.849396000001034,46.19414814150638
CH58-220,8.897810300091468,46.17382314164367
CH59-220,8.718542699932085,46.13298699147927
CH60-225,7.069441251777646,46.11936758052711
FR186-225,7.490782099999995,43.81451528971186
FR194-225,6.876099097471328,43.60829794053216
